> [28.08.2025 20:49:14] | [Log]    Created new window
> [28.08.2025 20:49:14] | [Info]    Created shader handle 3
> [28.08.2025 20:49:14] | [Info]    Created shader handle 4
> [28.08.2025 20:49:14] | [Info]    Created Texture2D handle 1
> [28.08.2025 20:49:14] | [Info]    Created Texture2D handle 2
> [28.08.2025 20:49:14] | [Info]    Created a mesh SteelMotion_Data\assets\model3.semp from offset 0
> [28.08.2025 20:49:18] | [Info]    resized  601   800
> [28.08.2025 20:49:18] | [Info]    resized  604   800
> [28.08.2025 20:49:18] | [Info]    resized  612   800
> [28.08.2025 20:49:18] | [Info]    resized  625   800
> [28.08.2025 20:49:18] | [Info]    resized  647   800
> [28.08.2025 20:49:18] | [Info]    resized  680   800
> [28.08.2025 20:49:18] | [Info]    resized  719   800
> [28.08.2025 20:49:18] | [Info]    resized  767   800
> [28.08.2025 20:49:18] | [Info]    resized  821   800
> [28.08.2025 20:49:18] | [Info]    resized  880   800
> [28.08.2025 20:49:18] | [Info]    resized  940   800
> [28.08.2025 20:49:18] | [Info]    resized  1004   800
> [28.08.2025 20:49:18] | [Info]    resized  1066   800
> [28.08.2025 20:49:18] | [Info]    resized  1129   800
> [28.08.2025 20:49:18] | [Info]    resized  1191   800
> [28.08.2025 20:49:18] | [Info]    resized  1252   800
> [28.08.2025 20:49:18] | [Info]    resized  1314   800
> [28.08.2025 20:49:18] | [Info]    resized  1375   800
> [28.08.2025 20:49:18] | [Info]    resized  1435   800
> [28.08.2025 20:49:18] | [Info]    resized  1489   800
> [28.08.2025 20:49:18] | [Info]    resized  1536   800
> [28.08.2025 20:49:18] | [Info]    resized  1575   800
> [28.08.2025 20:49:18] | [Info]    resized  1606   800
> [28.08.2025 20:49:18] | [Info]    resized  1627   800
> [28.08.2025 20:49:18] | [Info]    resized  1640   800
> [28.08.2025 20:49:18] | [Info]    resized  1646   800
> [28.08.2025 20:49:18] | [Info]    resized  1650   800
> [28.08.2025 20:49:18] | [Info]    resized  1651   800
> [28.08.2025 20:49:18] | [Info]    resized  1652   800
> [28.08.2025 20:49:18] | [Info]    resized  1651   800
> [28.08.2025 20:49:18] | [Info]    resized  1649   800
> [28.08.2025 20:49:18] | [Info]    resized  1648   800
> [28.08.2025 20:49:18] | [Info]    resized  1646   800
> [28.08.2025 20:49:21] | [Info]    Disposing shader handle 3
> [28.08.2025 20:49:21] | [Info]    Disposing shader handle 4
> [28.08.2025 20:49:21] | [Info]    Disposing Texture2D handle 1
> [28.08.2025 20:49:21] | [Info]    Disposing Texture2D handle 2
> [28.08.2025 20:49:21] | [Info]    Disposing mesh SteelMotion_Data\assets\model3.semp from offset 0
> [28.08.2025 20:49:21] | [Info]    Closing the window
